Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after fa̤ade dampening (dB),Comfort index (float),Absorption_norm,RT60_norm,SPL_norm,ComfortIndex_v2,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,11.1451,8.9448,1.76,6.0,5.0992,0.2261,0.3597,0.4492,0.5511,0.2343,0.6599,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,8.7484,8.3126,0.88,5.5,3.3829,-9.2983,0.2765,0.7069,0.6351,0.0477,0.85,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,17.7679,36.0605,0.88,5.5,31.1553,20.9242,0.4185,0.0,1.0,0.6398,0.0408,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,8.7968,7.1131,0.88,5.5,2.3185,-6.1623,0.3883,0.8288,0.5158,0.1091,0.9439,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,18.9981,17.6835,0.88,5.5,13.0217,4.8536,0.3269,0.4033,0.1085,0.3249,0.7838,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,10.3679,9.4971,0.88,5.5,5.5609,0.2617,0.3605,0.4492,0.5511,0.235,0.6596,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,9.177,7.8858,0.88,3.3,3.0786,-9.6044,0.2765,0.7069,0.6351,0.0417,0.8526,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,18.2222,35.8414,0.88,3.3,31.037,20.8086,0.4162,0.0,1.0,0.6376,0.0417,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,9.0578,6.8668,0.88,3.3,2.0952,-6.3876,0.3883,0.8288,0.5158,0.1047,0.9458,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,19.4837,17.4649,0.88,3.3,12.9319,4.8233,0.3263,0.4033,0.1085,0.3243,0.784,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,10.7141,9.2454,0.88,3.3,5.3974,0.2485,0.3602,0.4492,0.5511,0.2347,0.6597,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,9.7006,7.3902,1.76,5.5,2.4608,-10.2235,0.2765,0.7069,0.6351,0.0295,0.8578,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,18.7704,35.5841,1.76,5.5,30.6833,20.4632,0.4093,0.0,1.0,0.6308,0.0446,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,9.3966,6.6032,1.76,5.5,1.7993,-6.6816,0.3883,0.8288,0.5158,0.0989,0.9482,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,20.0675,17.2101,1.76,5.5,12.5882,4.7,0.3238,0.4033,0.1085,0.3219,0.785,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,11.1451,8.9448,1.76,5.5,5.1122,0.227,0.3598,0.4492,0.5511,0.2343,0.6599,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,9.525,7.5534,1.2,3.5,2.7382,-9.9459,0.2765,0.7069,0.6351,0.035,0.8554,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,18.5873,35.6692,1.2,3.5,30.8594,20.6351,0.4127,0.0,1.0,0.6342,0.0432,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,9.2808,6.6608,1.2,3.5,1.8881,-6.5979,0.3883,0.8288,0.5158,0.1006,0.9475,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,19.8728,17.2942,1.2,3.5,12.7666,4.7641,0.3251,0.4033,0.1085,0.3232,0.7845,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,10.9997,9.0447,1.2,3.5,5.2339,0.236,0.3599,0.4492,0.5511,0.2345,0.6598,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,10.3224,6.8949,1.92,4.4,2.0396,-10.6918,0.2765,0.7069,0.6351,0.0203,0.8617,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,19.4139,35.2916,1.92,4.4,30.4525,20.2382,0.4048,0.0,1.0,0.6264,0.0465,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,9.8237,6.4045,1.92,4.4,1.624,-6.8257,0.3883,0.8288,0.5158,0.0961,0.9494,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,20.7497,16.9228,1.92,4.4,12.3889,4.6333,0.3225,0.4033,0.1085,0.3206,0.7856,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,11.6672,8.5988,1.92,4.4,4.8679,0.2093,0.3594,0.4492,0.5511,0.2339,0.6601,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,10.8632,6.6158,1.2,3.1,1.8306,-11.0367,0.2765,0.7069,0.6351,0.0136,0.8645,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,19.9684,35.0472,1.2,3.1,30.2705,20.0609,0.4012,0.0,1.0,0.6229,0.048,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,10.2139,6.2374,1.2,0.0,6.2374,-2.1853,0.3883,0.8288,0.5158,0.187,0.9107,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,21.3354,16.6846,1.2,3.1,12.2394,4.5847,0.3215,0.4033,0.1085,0.3197,0.786,,,,,,
HD-Urban-V0,2Bed,6,24.44,night,126.0,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.29,0.72,3,12.1291,8.3081,1.2,3.1,4.6613,0.195,0.3591,0.4492,0.5511,0.2337,0.6602,,,,,,
HD-Urban-V1,3Bed,3,20.93,night,162.0,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.49,0.78,4,8.7484,8.3126,0.88,2.6,3.519,-9.1621,0.2765,0.7069,0.6351,0.0503,0.8489,,,,,,
Roadside-V3,1Bed,6,61.05,day,90.0,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.26,1.05,1,17.7679,36.0605,0.88,2.6,31.2668,21.0334,0.4207,0.0,1.0,0.642,0.0399,,,,,,
HD-Urban-V1,3Bed,6,19.92,night,162.0,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.84,0.69,4,8.7968,7.1131,0.88,2.6,2.3427,-6.1354,0.3883,0.8288,0.5158,0.1096,0.9437,,,,,,
Roadside-V1,1Bed,3,39.94,night,90.0,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.65,0.38,2,18.9981,17.6835,0.88,2.6,13.1517,4.9042,0.3279,0.4033,0.1085,0.3259,0.7833,,,,,,
